model,range,preprocess,seed,n_params,n_bands,n_train,n_test,epochs_run,time_s,r2,rmse,mae,bias,rpd,rpiq,exp_name,status
LucasResNet16,VIS,raw,0,925729,1502,546,118,50,29.1,0.0804113210933558,0.6135851707269625,0.4905975890361657,0.007248856758667251,1.0428052092699747,1.3486312482521259,VIS__LucasResNet16__raw__seed0,ok
LucasVGG16,VIS,raw,0,505507,1502,546,118,52,31.2,0.1640894562018258,0.5850028051277189,0.45798703320955825,0.0024532125157825015,1.0937551183625351,1.4145233620304365,VIS__LucasVGG16__raw__seed0,ok
LSTMPaper,VIS,raw,0,140417,1502,546,118,80,104.6,0.07859454719131365,0.6141909826026126,0.4742496341972028,0.036714001732357476,1.0417766305417613,1.34730101571989,VIS__LSTMPaper__raw__seed0,ok
SpectralNet,VIS,raw,0,239579,1502,546,118,80,240.6,0.04907122019317711,0.6239532377872956,0.4813010818877463,0.03289908625311771,1.0254771890181404,1.3262213970409595,VIS__SpectralNet__raw__seed0,ok
LucasResNet16,NIR,raw,0,316129,486,546,118,80,28.0,0.37136410422183264,0.5073149199630661,0.38428466905981806,-0.028567108057313047,1.2612477717222785,1.6311369962601168,NIR__LucasResNet16__raw__seed0,ok
LucasVGG16,NIR,raw,0,207907,486,546,118,80,32.1,0.4499450695465371,0.47454901671587013,0.33745570000955616,-0.014554663229796845,1.3483323952349158,1.743761140699933,NIR__LucasVGG16__raw__seed0,ok
LSTMPaper,NIR,raw,0,140417,486,546,118,54,35.7,0.03811957335341942,0.6275359211960385,0.5047671456458205,0.004521072415982263,1.0196226076514876,1.3186498282510126,NIR__LSTMPaper__raw__seed0,ok
SpectralNet,NIR,raw,0,239579,486,546,118,69,128.4,-0.019110534476155072,0.6459348139893287,0.5132332954366329,0.04156146665750924,0.9905795422499925,1.2810892318929383,NIR__SpectralNet__raw__seed0,ok
LucasResNet16,VISNIR,raw,0,1218529,1988,546,118,79,100.1,0.2473079045947345,0.5551198083273311,0.4111401211407225,0.016437385546959053,1.1526337247680962,1.4906694416109805,VISNIR__LucasResNet16__raw__seed0,ok
LucasVGG16,VISNIR,raw,0,659107,1988,546,118,58,77.3,0.25392097947062797,0.5526758157163185,0.4207010885416451,-0.03382438926373498,1.1577307965530919,1.4972613441280784,VISNIR__LucasVGG16__raw__seed0,ok
LSTMPaper,VISNIR,raw,0,140417,1988,546,118,80,198.9,0.052209236939463,0.6229228800325692,0.49661015807572056,0.028436774419525922,1.0271733995890937,1.3284150594424011,VISNIR__LSTMPaper__raw__seed0,ok
SpectralNet,VISNIR,raw,0,239579,1988,546,118,80,350.1,0.01771449036789552,0.6341571825390081,0.49222749926276127,0.04227327744839555,1.0089766858794902,1.3048817509144843,VISNIR__SpectralNet__raw__seed0,ok
