model,range,preprocess,seed,status,n_params,n_bands,n_train,n_test,epochs_run,time_s,exp_name,r2,rmse,mae,bias,rpd,rpiq
PLSR,VIS,raw,0,ok,0,1502,546,118,0,9.0,VIS__PLSR__raw__seed0,0.18400080696724963,0.5779934429093204,0.4656561149384424,0.010446816895338988,1.10701915430772,1.4316773742990734
RF,VIS,raw,0,ok,0,1502,546,118,0,58.9,VIS__RF__raw__seed0,0.10466502977257774,0.6054395962035377,0.48017570313929164,0.00017005085776755822,1.0568350936693236,1.3667757112276924
SVR,VIS,raw,0,ok,0,1502,546,118,0,19.6,VIS__SVR__raw__seed0,0.15148115490725933,0.5893981834718612,0.4484483088462432,0.057847113169646504,1.0855985483291375,1.4039746947167224
PLSR,VIS,sg1,0,ok,0,1502,546,118,0,17.5,VIS__PLSR__sg1__seed0,0.041717341106971895,0.6263612202825525,0.501497874177045,0.020524258962290213,1.0215348454622495,1.3211228727302284
RF,VIS,sg1,0,ok,0,1502,546,118,0,66.6,VIS__RF__sg1__seed0,0.07033685459560601,0.616937052480701,0.49904011029813256,0.001977960647499504,1.0371395425060794,1.341303997513398
SVR,VIS,sg1,0,ok,0,1502,546,118,0,12.5,VIS__SVR__sg1__seed0,0.06563835132511464,0.6184940828561484,0.4807098822979053,0.06509492563741154,1.034528591462211,1.337927326459096
PLSR,NIR,raw,0,ok,0,486,546,118,0,8.1,NIR__PLSR__raw__seed0,0.3625433929679779,0.5108617189128747,0.3860408052190001,-0.039925575297151614,1.252491209806243,1.6198123759741407
RF,NIR,raw,0,ok,0,486,546,118,0,31.8,NIR__RF__raw__seed0,0.06338223899329032,0.6192403414463952,0.4932918013455505,-0.016546050451569615,1.0332818609174417,1.3363149641925098
SVR,NIR,raw,0,ok,0,486,546,118,0,8.7,NIR__SVR__raw__seed0,0.3479429335993992,0.5166790469357989,0.3685711915658322,0.007411749735509472,1.2383893176229173,1.6015747873153448
PLSR,NIR,sg1,0,ok,0,486,546,118,0,7.9,NIR__PLSR__sg1__seed0,0.3777444739696474,0.5047338456928495,0.36837793281786657,-0.02367035721750773,1.2676974564417405,1.6394781958213749
RF,NIR,sg1,0,ok,0,486,546,118,0,26.2,NIR__RF__sg1__seed0,0.2926194235523042,0.5381515707535671,0.4001056441024872,-0.005718082928724896,1.1889769483881825,1.5376711314765072
SVR,NIR,sg1,0,ok,0,486,546,118,0,5.7,NIR__SVR__sg1__seed0,0.4171205244014504,0.4885032174935928,0.34384298419224063,0.009839755319398085,1.3098169867699498,1.6939502240174102
PLSR,VISNIR,raw,0,ok,0,1988,546,118,0,17.7,VISNIR__PLSR__raw__seed0,0.31717389267397833,0.5287289687106482,0.4009586950919571,-0.04259015062951424,1.210165983386938,1.565074326690343
RF,VISNIR,raw,0,ok,0,1988,546,118,0,80.4,VISNIR__RF__raw__seed0,0.1808119497239109,0.5791217169287493,0.4619437835260299,-0.012633621323916877,1.104862403983385,1.4288881085222824
SVR,VISNIR,raw,0,ok,0,1988,546,118,0,11.6,VISNIR__SVR__raw__seed0,0.27779730990695384,0.5437604268262899,0.4233416851907139,0.05387187251638646,1.1767127227323775,1.5218101463107225
PLSR,VISNIR,sg1,0,ok,0,1988,546,118,0,11.3,VISNIR__PLSR__sg1__seed0,0.2325009562979521,0.5605533707537793,0.4385387839204347,-0.009533997864238216,1.1414610021958722,1.4762200673126862
RF,VISNIR,sg1,0,ok,0,1988,546,118,0,88.7,VISNIR__RF__sg1__seed0,0.28615532106520825,0.5406048158950052,0.410689826927616,-0.003553112182913524,1.1835814139124377,1.530693235384
SVR,VISNIR,sg1,0,ok,0,1988,546,118,0,11.4,VISNIR__SVR__sg1__seed0,0.382304141709087,0.5028811902728956,0.39103866136069465,-0.02262152446436191,1.27236775751676,1.6455181675366355
